---------- 1703936456396 ----------
ask: 2287.430 41009.045040
ask: 2287.440 20.586960
ask: 2287.490 1829.992000
ask: 2287.540 5631.923480
ask: 2287.550 7917.210550
ask: 2287.560 11828.972760
ask: 2287.600 20.588400
ask: 2287.630 5584.104830
ask: 2287.640 20325.681400
ask: 2287.670 32866.954890
ask: 2287.680 11623.702080
ask: 2287.690 619.963990
ask: 2287.700 26182.726500
ask: 2287.710 17032.000950
ask: 2287.730 29292.094920
ask: 2287.750 41.179500
ask: 2287.760 22529.860480
ask: 2287.770 7151.569020
ask: 2287.780 24410.612600
ask: 2287.790 512.464960
ask: 2287.800 72349.387200
ask: 2287.810 4360.565860
ask: 2287.820 301.992240
ask: 2287.830 56262.315360
ask: 2287.840 1425.324320
ask: 2287.850 603.992400
ask: 2287.870 48013.239820
ask: 2287.890 23867.268480
ask: 2287.900 12908.331800
ask: 2287.910 1793.721440
ask: 2287.930 46293.975620
ask: 2287.940 41503.231600
ask: 2287.950 8723.953350
ask: 2287.960 12917.822160
ask: 2287.980 4262.506740
ask: 2288.000 12819.664000
ask: 2288.010 32967.936090
ask: 2288.020 76978.144880
ask: 2288.030 2999.607330
ask: 2288.040 12920.561880
ask: 2288.050 1478.080300
ask: 2288.060 54506.165320
ask: 2288.070 44139.158370
ask: 2288.080 8431.574800
ask: 2288.090 12298.483750
ask: 2288.100 61746.666600
ask: 2288.110 41986.818500
ask: 2288.120 51210.413720
ask: 2288.130 6326.679450
ask: 2288.140 5793.570480
ask: 2288.150 103165.819050
ask: 2288.160 11694.785760
ask: 2288.170 10456.936900
ask: 2288.180 36617.744540
ask: 2288.190 356.957640
ask: 2288.200 11127.516600
ask: 2288.210 51091.152880
ask: 2288.220 33211.225080
ask: 2288.230 111567.230110
ask: 2288.240 48055.328240
ask: 2288.250 50142.422250
ask: 2288.260 18974.251920
ask: 2288.270 15555.659460
ask: 2288.280 27081.793800
ask: 2288.290 43637.690300
ask: 2288.300 8615.449500
ask: 2288.310 3082.353570
ask: 2288.320 10054.878080
ask: 2288.330 40514.882650
ask: 2288.340 72618.181560
ask: 2288.350 128060.642700
ask: 2288.360 25684.552640
ask: 2288.370 1189.952400
ask: 2288.380 25540.609180
